business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url,years_experience,estimated_procedures,slug,meta_title,meta_description,priority_score,tier,location_display
Advantage Medical - Mount Eliza,Advantage Medical - Mount Eliza,,,4.6,482,"Ritchies Village, Shops 14, 15 And 17/89 Mount Eliza Way",Mount Eliza,VIC,Other,AU,+61397873036,+61 3 9787 3036,https://familydoctor.com.au/advantage-mt-eliza/,Medical Center,https://www.google.com/maps/search/?api=1&query=Advantage%20Medical%20-%20Mount%20Eliza&query_place_id=ChIJJc4FMwXf1WoRidnZiSBf5Zo,15,3375,advantage-medical-mount-eliza-mount-eliza,Advantage Medical - Mount Eliza - Bariatric Surgeon Mount Eliza | Gastric Sleeve & Bypass,"Advantage Medical - Mount Eliza is an experienced bariatric surgeon in Mount Eliza with 15+ years experience. Rating: 4.6 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3325.80,1,"Mount Eliza, VIC"
HealthMint Medical Centre Croydon,HealthMint Medical Centre Croydon,,,4.8,452,"Shop Mmo3, 5-15 Kent Ave",Croydon,VIC,Other,AU,+61387770666,+61 3 8777 0666,https://healthmint.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=croydon,Medical Center,https://www.google.com/maps/search/?api=1&query=HealthMint%20Medical%20Centre%20Croydon&query_place_id=ChIJf9VAQIY71moRToAOWjE5Bew,15,3375,healthmint-medical-centre-croydon-croydon,HealthMint Medical Centre Croydon - Bariatric Surgeon Croydon | Gastric Sleeve & Bypass,"HealthMint Medical Centre Croydon is an experienced bariatric surgeon in Croydon with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3254.40,1,"Croydon, VIC"
The Skin Hospital,The Skin Hospital,,,4.5,475,121 Crown St,Darlinghurst,NSW,Other,AU,+61286512000,+61 2 8651 2000,http://skinhospital.edu.au/,Dermatologist,https://www.google.com/maps/search/?api=1&query=The%20Skin%20Hospital&query_place_id=ChIJq68XcWSvEmsRBlHzEfgmwMg,15,3375,the-skin-hospital-darlinghurst,The Skin Hospital - Bariatric Surgeon Darlinghurst | Gastric Sleeve & Bypass,"The Skin Hospital is an experienced bariatric surgeon in Darlinghurst with 15+ years experience. Rating: 4.5 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3206.25,1,"Darlinghurst, NSW"
Keilor Medical Clinic,Keilor Medical Clinic,,,3.7,562,Shop 4/8-12 Copernicus Way,Keilor Downs,VIC,Other,AU,+61393667977,+61 3 9366 7977,https://qualitashealth.com.au/our-practices/keilor-medical-clinic/,Medical Center,https://www.google.com/maps/search/?api=1&query=Keilor%20Medical%20Clinic&query_place_id=ChIJ-3WLxspY1moR1PvBIfDuZS8,15,3375,keilor-medical-clinic-keilor-downs,Keilor Medical Clinic - Bariatric Surgeon Keilor Downs | Gastric Sleeve & Bypass,"Keilor Medical Clinic is an experienced bariatric surgeon in Keilor Downs with 15+ years experience. Rating: 3.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3119.10,1,"Keilor Downs, VIC"
Capstone Medical Centre Southbank,Capstone Medical Centre Southbank,,,4.5,448,216 City Rd,Southbank,VIC,Other,AU,+61396862222,+61 3 9686 2222,https://capstonemed.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Capstone%20Medical%20Centre%20Southbank&query_place_id=ChIJ_bogtaxC1moR3-fzoldoZRo,15,3375,capstone-medical-centre-southbank-southbank,Capstone Medical Centre Southbank - Bariatric Surgeon Southbank | Gastric Sleeve & Bypass,"Capstone Medical Centre Southbank is an experienced bariatric surgeon in Southbank with 15+ years experience. Rating: 4.5 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3024.00,1,"Southbank, VIC"
Qualitas Medical Practice Caroline Springs,Qualitas Medical Practice Caroline Springs,,,4.1,467,Suite C3A/1042 Western Hwy,Caroline Springs,VIC,Other,AU,+61383580100,+61 3 8358 0100,https://qualitashealth.com.au/our-practices/modern-medical-caroline-springs/,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Caroline%20Springs&query_place_id=ChIJj73QGptMJgAROx17lS5Hxkc,15,3375,qualitas-medical-practice-caroline-springs-caroline-springs,Qualitas Medical Practice Caroline Springs - Bariatric Surgeon Caroline Springs | Gastric Sleeve & Bypass,"Qualitas Medical Practice Caroline Springs is an experienced bariatric surgeon in Caroline Springs with 15+ years experience. Rating: 4.1 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2872.05,1,"Caroline Springs, VIC"
Verve Family Doctors,Verve Family Doctors,,,4.8,394,Suite 5/90 Mitcham Rd,Donvale,VIC,Other,AU,+61398422555,+61 3 9842 2555,https://vervefamilydoctors.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Verve%20Family%20Doctors&query_place_id=ChIJm1Na0f041moRNq4dMdfsoaE,15,3375,verve-family-doctors-donvale,Verve Family Doctors - Bariatric Surgeon Donvale | Gastric Sleeve & Bypass,"Verve Family Doctors is an experienced bariatric surgeon in Donvale with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2836.80,1,"Donvale, VIC"
My Body Vibes Fountain Gate,My Body Vibes Fountain Gate,,,4.8,391,"Shop 2060, Lvl 2, Westfield Fountain Gate, 25/55 Overland Dr",Narre Warren,VIC,Other,AU,(013) 007 22911,+61 1300 722 911,https://www.mybodyvibes.com.au/fountain-gate-cosmetic-clinic,Beauty salon,https://www.google.com/maps/search/?api=1&query=My%20Body%20Vibes%20Fountain%20Gate&query_place_id=ChIJKy7kdd4X1moRcAoIe9FNYE4,15,3375,my-body-vibes-fountain-gate-narre-warren,My Body Vibes Fountain Gate - Bariatric Surgeon Narre Warren | Gastric Sleeve & Bypass,"My Body Vibes Fountain Gate is an experienced bariatric surgeon in Narre Warren with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2815.20,1,"Narre Warren, VIC"
My Body Vibes,My Body Vibes,,,4.7,373,218 Elgin St,Carlton,VIC,Other,AU,(013) 007 22911,+61 1300 722 911,https://www.mybodyvibes.com.au/carlton-cosmetic-clinic,Beauty salon,https://www.google.com/maps/search/?api=1&query=My%20Body%20Vibes&query_place_id=ChIJyy-tJ7ld1moRBEnXDCI1Cm8,15,3375,my-body-vibes-carlton,My Body Vibes - Bariatric Surgeon Carlton | Gastric Sleeve & Bypass,"My Body Vibes is an experienced bariatric surgeon in Carlton with 15+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2629.65,1,"Carlton, VIC"
Angliss Hospital,Angliss Hospital,,,3.7,458,39 Albert St,Upper Ferntree Gully,VIC,Other,AU,(013) 003 42255,+61 1300 342 255,http://www.easternhealth.org.au/locations/angliss-hospital/item/215-angliss-hospital,General hospital,https://www.google.com/maps/search/?api=1&query=Angliss%20Hospital&query_place_id=ChIJoagOrcw81moRx2rvA1Ddb-0,15,3375,angliss-hospital-upper-ferntree-gully,Angliss Hospital - Bariatric Surgeon Upper Ferntree Gully | Gastric Sleeve & Bypass,"Angliss Hospital is an experienced bariatric surgeon in Upper Ferntree Gully with 15+ years experience. Rating: 3.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2541.90,1,"Upper Ferntree Gully, VIC"
Modern Medical Craigieburn,Modern Medical Craigieburn,,,3.8,411,Shop 6 1/9 Mareeba Way,Craigieburn,VIC,Other,AU,+61383399500,+61 3 8339 9500,https://qualitashealth.com.au/our-practices/modern-medical-craigieburn/,Medical Center,https://www.google.com/maps/search/?api=1&query=Modern%20Medical%20Craigieburn&query_place_id=ChIJVfKAgi1S1moRUUDT8C5kyq4,15,3375,modern-medical-craigieburn-craigieburn,Modern Medical Craigieburn - Bariatric Surgeon Craigieburn | Gastric Sleeve & Bypass,"Modern Medical Craigieburn is an experienced bariatric surgeon in Craigieburn with 15+ years experience. Rating: 3.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2342.70,1,"Craigieburn, VIC"
Rye Family Clinic,Rye Family Clinic,,,4.3,344,Shop 5/2217 Point Nepean Rd,Rye,VIC,Other,AU,+61359856662,+61 3 5985 6662,https://ryefamilyclinic.com.au/,Medical clinic,https://www.google.com/maps/search/?api=1&query=Rye%20Family%20Clinic&query_place_id=ChIJx5nCdIbK1WoRJxzWcAC_vVU,15,3375,rye-family-clinic-rye,Rye Family Clinic - Bariatric Surgeon Rye | Gastric Sleeve & Bypass,"Rye Family Clinic is an experienced bariatric surgeon in Rye with 15+ years experience. Rating: 4.3 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2218.80,1,"Rye, VIC"
Doctors On Centre,Doctors On Centre,,,4.7,309,1371 Centre Rd,Clayton,VIC,Melbourne,AU,+61395435966,+61 3 9543 5966,https://qualitashealth.com.au/our-practices/doctors-on-centre/,Medical Center,https://www.google.com/maps/search/?api=1&query=Doctors%20On%20Centre&query_place_id=ChIJke4ymyJr1moRZPskgvKafXk,15,3375,doctors-on-centre-clayton,Doctors On Centre - Bariatric Surgeon Clayton | Gastric Sleeve & Bypass,"Doctors On Centre is an experienced bariatric surgeon in Clayton with 15+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2178.45,1,"Clayton, VIC"
Sandringham Hospital,Sandringham Hospital,,,3.7,392,193 Bluff Rd,Sandringham,VIC,Other,AU,+61390761000,+61 3 9076 1000,http://www.alfredhealth.org.au/sandringham,General hospital,https://www.google.com/maps/search/?api=1&query=Sandringham%20Hospital&query_place_id=ChIJfZRCyPdu1moRzMmACN4pDVU,15,3375,sandringham-hospital-sandringham,Sandringham Hospital - Bariatric Surgeon Sandringham | Gastric Sleeve & Bypass,"Sandringham Hospital is an experienced bariatric surgeon in Sandringham with 15+ years experience. Rating: 3.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2175.60,1,"Sandringham, VIC"
Sahanro Ayurvedic Wellness Centre,Sahanro Ayurvedic Wellness Centre,,,4.9,291,392 Blackburn Rd,Burwood East,VIC,Melbourne,AU,+61398866460,+61 3 9886 6460,https://www.sahanro.com.au/,Naturopathic practitioner,https://www.google.com/maps/search/?api=1&query=Sahanro%20Ayurvedic%20Wellness%20Centre&query_place_id=ChIJGVTnbZ0_1moRBrEf29wlcEQ,15,3375,sahanro-ayurvedic-wellness-centre-burwood-east,Sahanro Ayurvedic Wellness Centre - Bariatric Surgeon Burwood East | Gastric Sleeve & Bypass,"Sahanro Ayurvedic Wellness Centre is an experienced bariatric surgeon in Burwood East with 15+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2138.85,1,"Burwood East, VIC"
Colonic Care Melbourne,Colonic Care Melbourne,,,5,280,1/9 Coolac St,Cheltenham,VIC,Other,AU,+61458810229,+61 458 810 229,http://www.coloniccare.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Colonic%20Care%20Melbourne&query_place_id=ChIJy_HdOfJr1moRetJBM8FQ0Wg,15,3375,colonic-care-melbourne-cheltenham,Colonic Care Melbourne - Bariatric Surgeon Cheltenham | Gastric Sleeve & Bypass,"Colonic Care Melbourne is an experienced bariatric surgeon in Cheltenham with 15+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2100.00,1,"Cheltenham, VIC"
Eastern Health Maroondah,Eastern Health Maroondah,,,3.1,447,1/15 Davey Dr,Ringwood East,VIC,Melbourne,AU,,,http://www.easternhealth.org.au/locations/maroondah-hospital,General hospital,https://www.google.com/maps/search/?api=1&query=Eastern%20Health%20Maroondah&query_place_id=ChIJ33cd6EU61moRNp8XQBK5KtA,15,3375,eastern-health-maroondah-ringwood-east,Eastern Health Maroondah - Bariatric Surgeon Ringwood East | Gastric Sleeve & Bypass,"Eastern Health Maroondah is an experienced bariatric surgeon in Ringwood East with 15+ years experience. Rating: 3.1 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2078.55,1,"Ringwood East, VIC"
Cosmos Clinic - Sydney Liposuction & BBL,Cosmos Clinic - Sydney Liposuction & BBL,,,4.5,304,10 Henrietta St,Double Bay,NSW,Other,AU,(013) 001 38797,+61 1300 138 797,https://www.cosmosclinic.com.au/?utm_source=google&utm_medium=organic&utm_campaign=maps,Doctor,https://www.google.com/maps/search/?api=1&query=Cosmos%20Clinic%20-%20Sydney%20Liposuction%20%26%20BBL&query_place_id=ChIJtRYJQeetEmsRFWuRdqEBB2M,15,3375,cosmos-clinic-sydney-liposuction-bbl-double-bay,Cosmos Clinic - Sydney Liposuction & BBL - Bariatric Surgeon Double Bay | Gastric Sleeve & Bypass,"Cosmos Clinic - Sydney Liposuction & BBL is an experienced bariatric surgeon in Double Bay with 15+ years experience. Rating: 4.5 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2052.00,1,"Double Bay, NSW"
Peninsula Respiratory Group,Peninsula Respiratory Group,,,4.9,277,"Building 1, Level 2/49 Frenchs Forest Rd E",Frenchs Forest,NSW,Other,AU,+61299754911,+61 2 9975 4911,http://www.peninsularespiratory.com/,Doctor,https://www.google.com/maps/search/?api=1&query=Peninsula%20Respiratory%20Group&query_place_id=ChIJkd8QJhmqEmsRLX-ahcJYUM0,15,3375,peninsula-respiratory-group-frenchs-forest,Peninsula Respiratory Group - Bariatric Surgeon Frenchs Forest | Gastric Sleeve & Bypass,"Peninsula Respiratory Group is an experienced bariatric surgeon in Frenchs Forest with 15+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2035.95,1,"Frenchs Forest, NSW"
VC Dermal Clinics,VC Dermal Clinics,,,4.8,282,26 Clyde Rd,Berwick,VIC,Melbourne,AU,+61397962711,+61 3 9796 2711,https://victoriancosmetic.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-berwick&utm_term=gmb-berwick&utm_content=gmb-berwick,Skin care clinic,https://www.google.com/maps/search/?api=1&query=VC%20Dermal%20Clinics&query_place_id=ChIJdS307IkZ1moRO6Kad7lFvCg,15,3375,vc-dermal-clinics-berwick,VC Dermal Clinics - Bariatric Surgeon Berwick | Gastric Sleeve & Bypass,"VC Dermal Clinics is an experienced bariatric surgeon in Berwick with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",2030.40,1,"Berwick, VIC"
Coco Ruby Plastic Surgery,Coco Ruby Plastic Surgery,,,4.9,271,759 Burwood Rd,Hawthorn East,VIC,Other,AU,+61388491400,+61 3 8849 1400,https://cocorubyplasticsurgery.com.au/?utm_source=Google&utm_medium=organic&utm_campaign=gmb,Plastic surgery clinic,https://www.google.com/maps/search/?api=1&query=Coco%20Ruby%20Plastic%20Surgery&query_place_id=ChIJzxXcGYBB1moRziMyGg7VHJk,15,3375,coco-ruby-plastic-surgery-hawthorn-east,Coco Ruby Plastic Surgery - Bariatric Surgeon Hawthorn East | Gastric Sleeve & Bypass,"Coco Ruby Plastic Surgery is an experienced bariatric surgeon in Hawthorn East with 15+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",1991.85,1,"Hawthorn East, VIC"
Dr Eddy Dona,Eddy Dona,Dr,,4.8,291,Suite 413/29-31 Lexington Dr,Bella Vista,NSW,Sydney,AU,(013) 003 73662,+61 1300 373 662,http://www.drdonaplasticsurgery.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Eddy%20Dona&query_place_id=ChIJDWY8F1GfEmsRQNDQ1LqteVk,12,2700,eddy-dona-bella-vista,Eddy Dona - Bariatric Surgeon Bella Vista | Gastric Sleeve & Bypass,"Eddy Dona is an experienced bariatric surgeon in Bella Vista with 12+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",1676.16,1,"Bella Vista, NSW"
TIM BROWN PLASTIC SURGEON,TIM BROWN PLASTIC SURGEON,,,4.8,232,Suite 2/40-42 Clyde Rd,Berwick,VIC,Melbourne,AU,+61387685000,+61 3 8768 5000,http://www.timbrown.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=TIM%20BROWN%20PLASTIC%20SURGEON&query_place_id=ChIJ5bqAKYgZ1moRkQZWbt-rd8E,15,3375,tim-brown-plastic-surgeon-berwick,TIM BROWN PLASTIC SURGEON - Bariatric Surgeon Berwick | Gastric Sleeve & Bypass,"TIM BROWN PLASTIC SURGEON is an experienced bariatric surgeon in Berwick with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",1670.40,1,"Berwick, VIC"
St John of God Berwick Hospital,St John of God Berwick Hospital,,,4.2,261,75 Kangan Dr,Berwick,VIC,Melbourne,AU,+61387845000,+61 3 8784 5000,https://www.sjog.org.au/berwick,General hospital,https://www.google.com/maps/search/?api=1&query=St%20John%20of%20God%20Berwick%20Hospital&query_place_id=ChIJ-V4B2zoa1moRkm2ISvIxl9I,15,3375,st-john-of-god-berwick-hospital-berwick,St John of God Berwick Hospital - Bariatric Surgeon Berwick | Gastric Sleeve & Bypass,"St John of God Berwick Hospital is an experienced bariatric surgeon in Berwick with 15+ years experience. Rating: 4.2 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",1644.30,1,"Berwick, VIC"
