business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url
Dr Mark Boccola,Mark Boccola,Dr,,5,2,"Norwest Private Hospital, 11 Norbrik Dr",Bella Vista,NSW,Sydney,AU,+61287110134,+61 2 8711 0134,,Gastroenterologist,https://www.google.com/maps/search/?api=1&query=Dr%20Mark%20Boccola&query_place_id=ChIJpeSShACiEmsRleG9zjEduR0
Dr. Chris Nahm,Chris Nahm,Dr.,,5,14,"Norwest Gi, Q Central Building, Suite 302/10 Norbrik Dr",Bella Vista,NSW,Sydney,AU,+61298997322,+61 2 9899 7322,http://drchrisnahm.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Chris%20Nahm&query_place_id=ChIJj1tSAIOZEmsRgU7IxMqRQvU
Advanced Surgicare - Dr V. Kuzinkovas,Advanced Surgicare - Dr V. Kuzinkovas,,general-bariatric,5,11,"Norwest Private Hospital Suite G3B, Ground Floor/9 Norbrik Dr",Bella Vista,NSW,Sydney,AU,(013) 005 51533,+61 1300 551 533,https://www.advancedobesitysurgery.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business-bel&utm_term=googlemybusinessbell,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Advanced%20Surgicare%20-%20Dr%20V.%20Kuzinkovas&query_place_id=ChIJm_t4ggCiEmsRuS6qenF3XbA
Norwest Surgical Services,Norwest Surgical Services,,,5,1,9 Norbrik Dr,Bella Vista,NSW,Sydney,AU,+61288243300,+61 2 8824 3300,http://norwestsurgery.com/,Surgeon,https://www.google.com/maps/search/?api=1&query=Norwest%20Surgical%20Services&query_place_id=ChIJUWQR20WjEmsRq8gtjS97kKo
Sydney Weight Loss & Reflux Clinic,Sydney Weight Loss & Reflux Clinic,,general-bariatric,,0,"Suite 112, Level 1/10 Norbrik Dr",Bella Vista,NSW,Sydney,AU,+61286135106,+61 2 8613 5106,https://www.sydwls.com.au/,Weight loss service,https://www.google.com/maps/search/?api=1&query=Sydney%20Weight%20Loss%20%26%20Reflux%20Clinic&query_place_id=ChIJg88yykCZEmsRppMjiNNWRmc
"Northern Beaches Cosmetic Surgery, Sydney","Northern Beaches Cosmetic Surgery, Sydney",,,4.7,131,27/14-16 Narabang Way,Belrose,NSW,Other,AU,+61299862552,+61 2 9986 2552,http://www.northernbeachescosmetic.com.au/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB&utm_id=GMB,Plastic surgery clinic,https://www.google.com/maps/search/?api=1&query=Northern%20Beaches%20Cosmetic%20Surgery%2C%20Sydney&query_place_id=ChIJ3_jYpGpWDWsRRzaI3zOpnPw
Dr Robert Drielsma,Robert Drielsma,Dr,,5,36,"Suite 1805, Office Tower One/520 Oxford St",Bondi Junction,NSW,Sydney,AU,(018) 001 80777,+61 1800 180 777,https://drdrielsma.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Robert%20Drielsma&query_place_id=ChIJH2MVdvGtEmsRGUthADQ2dmk
Dr. Michael Miroshnik,Michael Miroshnik,Dr.,,4.9,149,701/28 Spring St,Bondi Junction,NSW,Sydney,AU,+61293898108,+61 2 9389 8108,http://www.drmiroshnik.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Michael%20Miroshnik&query_place_id=ChIJv-56g92tEmsR7VXsSXlCXAU
Bondi Junction Medical Practice,Bondi Junction Medical Practice,,,3.8,114,231 Oxford St,Bondi Junction,NSW,Sydney,AU,+61293899699,+61 2 9389 9699,https://qualitashealth.com.au/our-practices/bondi-junction-medical-practice/,Medical Center,https://www.google.com/maps/search/?api=1&query=Bondi%20Junction%20Medical%20Practice&query_place_id=ChIJs9fqnPGtEmsRZ6pJnrpY57Y
MyHealth1st,MyHealth1st,,,5,1,603/1 Newland St,Bondi Junction,NSW,Sydney,AU,(013) 002 66517,+61 1300 266 517,http://www.myhealth1st.com.au/,Health consultant,https://www.google.com/maps/search/?api=1&query=MyHealth1st&query_place_id=ChIJeS2-9oavEmsRUzlnsrXgMe4
Forme Institute,Forme Institute,,,,0,"Westfield Tower 2 Suite 1305, Level 13/101 Grafton St",Bondi Junction,NSW,Sydney,AU,(018) 008 49101,+61 1800 849 101,https://www.formeinstitute.com/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Forme%20Institute&query_place_id=ChIJcQjk_qqtEmsRc7utqQm-GJY
Zen Medispa,Zen Medispa,,,4.9,82,Level 1/116 Burwood Rd,Burwood,NSW,Other,AU,+61297471669,+61 2 9747 1669,http://www.zenmedispa.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Zen%20Medispa&query_place_id=ChIJbUC52tq6EmsRJMBa6dZRfVg
Sydney Endocrine Specialists,Sydney Endocrine Specialists,,,3.8,47,21 Meryla St,Burwood,NSW,Other,AU,+61297448470,+61 2 9744 8470,http://www.sydneyendocrinespecialists.com/,Endocrinologist,https://www.google.com/maps/search/?api=1&query=Sydney%20Endocrine%20Specialists&query_place_id=ChIJ_____9y6EmsRYaBQiQHmawg
Sydney Spine Institute,Sydney Spine Institute,,,4.4,14,Suite 107/3 Railway Parade,Burwood,NSW,Other,AU,+61297155007,+61 2 9715 5007,http://www.sydneyspineinstitute.com.au/,Neurosurgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Spine%20Institute&query_place_id=ChIJMYez9du6EmsRrWq8U54bG3E
Dr Ali Zarrouk,Ali Zarrouk,Dr,,4.6,30,Suite 13/42 Parkside Cres,Campbelltown,NSW,Sydney,AU,+61246254745,+61 2 4625 4745,https://www.southwestsurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Ali%20Zarrouk&query_place_id=ChIJH-TrxK3vEmsR9cApwZJVVHM
Advanced Surgicare,Advanced Surgicare,,general-bariatric,5,16,"Macarthur Specialist Consulting Suites Suite 114, Level 1 Building A/4 Hyde Parade",Campbelltown,NSW,Sydney,AU,(013) 005 51533,+61 1300 551 533,https://www.advancedobesitysurgery.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business-cam&utm_term=googlemybusinesscamp,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Advanced%20Surgicare&query_place_id=ChIJqxbnLPHuEmsRiLXPcqDpRqY
Dr Philip Le Page,Philip Le Page,Dr,,4.2,10,"Suite 3, Ground Floor/1 Centennial Dr",Campbelltown,NSW,Sydney,AU,+61291268963,+61 2 9126 8963,http://www.drlepage.com.au/,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Dr%20Philip%20Le%20Page&query_place_id=ChIJ6ZzsTarvEmsRlPNuHkom7VA
Dr Edward Tong | Campbelltown,Edward Tong | Campbelltown,Dr,,1,1,Suite 223 Level 2/4 Hyde Parade,Campbelltown,NSW,Sydney,AU,+61290576430,+61 2 9057 6430,https://dredwardtong.com/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Edward%20Tong%20%7C%20Campbelltown&query_place_id=ChIJSzKX8ybvEmsRe3yhiFwmJtU
Dr Rachel Kirby,Rachel Kirby,Dr,,,0,42 Parkside Cres,Campbelltown,NSW,Sydney,AU,+61246254745,+61 2 4625 4745,https://www.southwestsurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Rachel%20Kirby&query_place_id=ChIJ-bPGCy_vEmsR4PM32rRUOng
Prof. Charbel Sandroussi - Innerwest UGIT Surgery,Charbel Sandroussi - Innerwest UGIT Surgery,Prof.,,4.9,66,"Suite 1 Missenden Medical Centre, 54-60 Briggs St",Camperdown,NSW,Other,AU,+61295651375,+61 2 9565 1375,https://drcharbelsandroussi.com/,Surgeon,https://www.google.com/maps/search/?api=1&query=Prof.%20Charbel%20Sandroussi%20-%20Innerwest%20UGIT%20Surgery&query_place_id=ChIJX7AluC6wEmsRs2bMN4xlrBA
"Dr David Yeo - Specialist Upper GI, Hepatobiliary & Bariatric Surgeon","David Yeo - Specialist Upper GI, Hepatobiliary & Bariatric Surgeon",Dr,general-bariatric,4.7,45,"Chris O'Brien Lifehouse, 119-143 Missenden Rd",Camperdown,NSW,Other,AU,+61289372213,+61 2 8937 2213,http://www.drdavidyeo.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20David%20Yeo%20-%20Specialist%20Upper%20GI%2C%20Hepatobiliary%20%26%20Bariatric%20Surgeon&query_place_id=ChIJOcV7xy6wEmsRhGugyrVZSu0
A/Prof Carlo Pulitano,Carlo Pulitano,A/Prof,,5,12,"Chris O’Brien Lifehouse, 119-143 Missenden Rd",Camperdown,NSW,Other,AU,+61295172020,+61 2 9517 2020,http://www.drpulitano.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf%20Carlo%20Pulitano&query_place_id=ChIJu72BS2qxEmsRrIuIr5sJ9Ko
My Klinik Castle Hill,My Klinik Castle Hill,,,4.6,21,"Barwell Centre, Suite 25/7-9 Barwell Ave",Castle Hill,NSW,Sydney,AU,(013) 000 50544,+61 1300 050 544,https://drjakelim.com.au/,Plastic surgery clinic,https://www.google.com/maps/search/?api=1&query=My%20Klinik%20Castle%20Hill&query_place_id=ChIJDeG00XShEmsRYjtUExw_Re0
Dr Jake Lim,Jake Lim,Dr,,4.9,20,"Suite 25, 7/9 Barwell Ave",Castle Hill,NSW,Sydney,AU,+61298939388,+61 2 9893 9388,https://drjakelim.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Jake%20Lim&query_place_id=ChIJr8ZNcuSjEmsRykyk-VJw3aw
Shire Surgery,Shire Surgery,,,5,1,"Suite 3, Level 1/17 Surf Rd",Cronulla,NSW,Other,AU,+61295270088,+61 2 9527 0088,https://shiresurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Shire%20Surgery&query_place_id=ChIJIeCckM_JEmsRQoWMZXtQefY
OClinic,OClinic,,general-bariatric,4.7,113,198 Pacific Hwy,Crows Nest,NSW,Other,AU,+61281979595,+61 2 8197 9595,https://www.oclinic.sydney/,Weight loss service,https://www.google.com/maps/search/?api=1&query=OClinic&query_place_id=ChIJ9VUcPemuEmsRrwx0fKMxyl4
St Vincent's Clinic,St Vincent's Clinic,,,3.3,51,438 Victoria St,Darlinghurst,NSW,Other,AU,+61283826222,+61 2 8382 6222,https://stvincentsclinic.com.au/,Medical clinic,https://www.google.com/maps/search/?api=1&query=St%20Vincent's%20Clinic&query_place_id=ChIJbZZeexCuEmsR5Z-S7V_Xxhs
The Skin Hospital,The Skin Hospital,,,4.5,475,121 Crown St,Darlinghurst,NSW,Other,AU,+61286512000,+61 2 8651 2000,http://skinhospital.edu.au/,Dermatologist,https://www.google.com/maps/search/?api=1&query=The%20Skin%20Hospital&query_place_id=ChIJq68XcWSvEmsRBlHzEfgmwMg
The Kinghorn Cancer Centre,The Kinghorn Cancer Centre,,,4.9,21,370 Victoria St,Darlinghurst,NSW,Other,AU,+61293555600,+61 2 9355 5600,http://tkcc.org.au/contact-us/,Cancer treatment center,https://www.google.com/maps/search/?api=1&query=The%20Kinghorn%20Cancer%20Centre&query_place_id=ChIJd5p20BGuEmsR1MP3UJj3_gc
Dr Rohan Gett,Rohan Gett,Dr,,4.5,15,438 Victoria St,Darlinghurst,NSW,Other,AU,+61283826675,+61 2 8382 6675,https://www.sydneycolorectalsurgery.com.au/,Doctor,https://www.google.com/maps/search/?api=1&query=Dr%20Rohan%20Gett&query_place_id=ChIJv8XLfBCuEmsR4VBiGYFOccY
Reginald V N Lord,Reginald V N Lord,,,3.9,14,Suite 606/438 Victoria St,Darlinghurst,NSW,Other,AU,+61283826671,+61 2 8382 6671,http://lordsurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Reginald%20V%20N%20Lord&query_place_id=ChIJiXZmMhCuEmsRsKcoghrHZX0
Dr Suhirdan Vivekanandarajah,Suhirdan Vivekanandarajah,Dr,,5,13,Suite 601/438 Victoria St,Darlinghurst,NSW,Other,AU,+61283826622,+61 2 8382 6622,http://sydneygastroenterologist.com.au/,Gastroenterologist,https://www.google.com/maps/search/?api=1&query=Dr%20Suhirdan%20Vivekanandarajah&query_place_id=ChIJG6ZBaRCuEmsR9V81Ke2TZmY
St Vincent's Clinic - Neurology,St Vincent's Clinic - Neurology,,,4.3,12,438 Victoria St,Darlinghurst,NSW,Other,AU,+61283826222,+61 2 8382 6222,https://www.stvincentsclinic.com.au/find-a-doctor/specialties/neurology,Specialized clinic,https://www.google.com/maps/search/?api=1&query=St%20Vincent's%20Clinic%20-%20Neurology&query_place_id=ChIJdyLubhCuEmsRBDDt8tzq2m0
Lord Surgery - Upper GI and General Surgery,Lord Surgery,,,,0,438 Victoria St,Darlinghurst,NSW,Other,AU,+61283826671,+61 2 8382 6671,https://www.lordsurgery.com/,Hospital,https://www.google.com/maps/search/?api=1&query=Lord%20Surgery%20-%20Upper%20GI%20and%20General%20Surgery&query_place_id=ChIJh92CNBCuEmsRS2wYtXCDzII
Dr Kelly Thornbury,Kelly Thornbury,Dr,,5,73,Suite 2 Level 1/15 Cross St,Double Bay,NSW,Other,AU,+61272010777,+61 2 7201 0777,https://www.drkellythornbury.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Kelly%20Thornbury&query_place_id=ChIJRe9IuEi5EmsRBvQ-t_5KsHQ
Cosmos Clinic - Sydney Liposuction & BBL,Cosmos Clinic - Sydney Liposuction & BBL,,,4.5,304,10 Henrietta St,Double Bay,NSW,Other,AU,(013) 001 38797,+61 1300 138 797,https://www.cosmosclinic.com.au/?utm_source=google&utm_medium=organic&utm_campaign=maps,Doctor,https://www.google.com/maps/search/?api=1&query=Cosmos%20Clinic%20-%20Sydney%20Liposuction%20%26%20BBL&query_place_id=ChIJtRYJQeetEmsRFWuRdqEBB2M
Dr Saras & Co,Saras & Co,Dr,,4.3,3,318 New South Head Rd,Double Bay,NSW,Other,AU,+61296929929,+61 2 9692 9929,https://drsarasandco.com.au/?utm_source=google&utm_medium=organic&utm_id=gmb-double-bay,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Dr%20Saras%20%26%20Co&query_place_id=ChIJUZnydOetEmsRgtrofzOX9S8
Dr Michael Zacharia - Facelift Sydney,Michael Zacharia - Facelift Sydney,Dr,,4.6,157,Level 1/424 New South Head Rd,Double Bay,NSW,Other,AU,+61291921600,+61 2 9192 1600,http://www.faceliftplasticsurgery.com.au/,Otolaryngologist,https://www.google.com/maps/search/?api=1&query=Dr%20Michael%20Zacharia%20-%20Facelift%20Sydney&query_place_id=ChIJW3LzovCtEmsRUI2mNOhZvlE
Dr Kourosh Tavakoli,Kourosh Tavakoli,Dr,,4.9,114,Suite 1 Level 1/376 New South Head Rd,Double Bay,NSW,Other,AU,(013) 003 68107,+61 1300 368 107,https://www.drtavakoli.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Kourosh%20Tavakoli&query_place_id=ChIJaUx2KOCtEmsRULZnf9QH_mo
Dr. Justine O’Hara at Plastic Surgery Collective,Justine O’Hara at Plastic Surgery Collective,Dr.,,4.9,36,9/50 Victoria Rd,Drummoyne,NSW,Other,AU,+61285519800,+61 2 8551 9800,https://www.drjustineohara.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Justine%20O%E2%80%99Hara%20at%20Plastic%20Surgery%20Collective&query_place_id=ChIJ8SMKJWquEmsRy4uQquO4tT0
Géniale,Géniale,,,4.5,211,137 Victoria Rd,Drummoyne,NSW,Other,AU,+61291813999,+61 2 9181 3999,https://geniale.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=G%C3%A9niale&query_place_id=ChIJmc5sDJOvEmsRcZb8W53lcXk
Longevity Exercise Physiology and Personal Training - Edgecliff,Longevity Exercise Physiology and Personal Training - Edgecliff,,,5,209,"Lower, Ground Floor, 287/289 New South Head Rd",Edgecliff,NSW,Other,AU,(013) 009 64002,+61 1300 964 002,http://www.longevitypt.com.au/,Sports medicine clinic,https://www.google.com/maps/search/?api=1&query=Longevity%20Exercise%20Physiology%20and%20Personal%20Training%20-%20Edgecliff&query_place_id=ChIJd29wI-GtEmsRYex9PDD8Ous
Dr Sepehr Lajevardi | Specialist Plastic Surgeon,Sepehr Lajevardi | Specialist Plastic Surgeon,Dr,,4.9,93,209/2 Pembroke St,Epping,NSW,Other,AU,+61298685155,+61 2 9868 5155,http://www.drlajevardi.com/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Sepehr%20Lajevardi%20%7C%20Specialist%20Plastic%20Surgeon&query_place_id=ChIJ69GAvVSvEmsRNNA-PShb-0M
Life Weight Loss Centre,Life Weight Loss Centre,,general-bariatric,5,1,5 William St,Fairfield,NSW,Other,AU,,,https://www.lifeweightloss.com.au/?utm_medium=organic&utm_source=local&utm_campaign=gmb&utm_content=website,Weight loss service,https://www.google.com/maps/search/?api=1&query=Life%20Weight%20Loss%20Centre&query_place_id=ChIJkWaVHL-VEmsRQ55Bj38WRpI
"Dr. Umed Cosmetics - Laser Skin Treatment, Cosmetic & Body Clinic","Umed Cosmetics - Laser Skin Treatment, Cosmetic & Body Clinic",Dr.,,4.4,59,110 Great N Rd,Five Dock,NSW,Other,AU,+61407194519,+61 407 194 519,https://www.drumedcosmetics.com.au/,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Dr.%20Umed%20Cosmetics%20-%20Laser%20Skin%20Treatment%2C%20Cosmetic%20%26%20Body%20Clinic&query_place_id=ChIJMdM0qfelEmsRFGcE2hx2_E0
Northern Beaches Bariatric Surgery,Northern Beaches Bariatric Surgery,,general-bariatric,5,6,"Suite 24, Building 7/49 Frenchs Forest Rd E",Frenchs Forest,NSW,Other,AU,+61291268963,+61 2 9126 8963,http://www.northernbeachesbariatricsurgery.com.au/,Weight loss service,https://www.google.com/maps/search/?api=1&query=Northern%20Beaches%20Bariatric%20Surgery&query_place_id=ChIJkc4OMwurEmsRmaCxUdu1fZE
Northern Beaches Upper Gastrointestinal Surgery,Northern Beaches Upper Gastrointestinal Surgery,,,4.2,5,"Northern Beaches Hospital, Suite 16, Level 7/105 Frenchs Forest Rd W",Frenchs Forest,NSW,Other,AU,+61290986996,+61 2 9098 6996,https://www.nbugi.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Northern%20Beaches%20Upper%20Gastrointestinal%20Surgery&query_place_id=ChIJq85GXMSrEmsR-rJ1YJXcG4U
Peninsula Respiratory Group,Peninsula Respiratory Group,,,4.9,277,"Building 1, Level 2/49 Frenchs Forest Rd E",Frenchs Forest,NSW,Other,AU,+61299754911,+61 2 9975 4911,http://www.peninsularespiratory.com/,Doctor,https://www.google.com/maps/search/?api=1&query=Peninsula%20Respiratory%20Group&query_place_id=ChIJkd8QJhmqEmsRLX-ahcJYUM0
Dr Stuart Pincott,Stuart Pincott,Dr,,4.6,24,"Northern Beaches Hospital, Suite 11, Level 6/105 Frenchs Forest Rd W",Frenchs Forest,NSW,Other,AU,+61299729277,+61 2 9972 9277,http://www.nbcr.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Stuart%20Pincott&query_place_id=ChIJ9a95_IiqEmsR3s1O3YQ8rpg
Northern Bariatrics,Northern Bariatrics,,general-bariatric,,0,"Suite 16, Level 7/105 Frenchs Forest Rd W",Frenchs Forest,NSW,Other,AU,+61290986996,+61 2 9098 6996,https://northernbariatrics.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Northern%20Bariatrics&query_place_id=ChIJE225xfepEmsRc2hfDFGF6VY
Dr Christos Apostolou Suite 16 Level 7 Northern Beaches Hospital,Christos Apostolou Suite 16 Level 7 Northern Beaches Hospital,Dr,general-bariatric,,0,105 Frenchs Forest Rd W,Frenchs Forest,NSW,Other,AU,+61294804250,+61 2 9480 4250,https://www.gastrosurgery.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Christos%20Apostolou%20Suite%2016%20Level%207%20Northern%20Beaches%20Hospital&query_place_id=ChIJde-yglypEmsR4GwSphfeQao
Betterhealth Quarter Specialist Suites,Betterhealth Quarter Specialist Suites,,,5,3,"Level 2, Suite 19/13 Digitaria Dr",Gledswood Hills,NSW,Other,AU,+61281246737,+61 2 8124 6737,,Medical office,https://www.google.com/maps/search/?api=1&query=Betterhealth%20Quarter%20Specialist%20Suites&query_place_id=ChIJp5Cm5JTtEmsRrqilDOWzdqA
Dr Michael Kernohan FRACS (Plast),Michael Kernohan,"FRACS, Dr",,5,106,"Suite 17, Level 2/13 Digitaria Dr",Gledswood Hills,NSW,Other,AU,(013) 003 93899,+61 1300 393 899,http://drmichaelkernohan.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Michael%20Kernohan%20FRACS%20(Plast)&query_place_id=ChIJk_yklVHvEmsRFWyu4wJ1IvE
WEIGHT LOSS & BEYOND - DR. MAIS HUSSEIN,WEIGHT LOSS & BEYOND - DR. MAIS HUSSEIN,,general-bariatric,,0,"Soma Wellness Centre, 7 Gregory Hills Dr",Gledswood Hills,NSW,Other,AU,+61246061400,+61 2 4606 1400,http://weightlossandbeyond.com.au/,Wellness Programme,https://www.google.com/maps/search/?api=1&query=WEIGHT%20LOSS%20%26%20BEYOND%20-%20DR.%20MAIS%20HUSSEIN&query_place_id=ChIJI44k7f_xEmsR5LVoMHpJMts
Mode Plastic Surgery,Mode Plastic Surgery,,,5,51,Suite 13/924 Pacific Hwy,Gordon,NSW,Other,AU,(013) 008 09000,+61 1300 809 000,http://www.modeplasticsurgery.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Mode%20Plastic%20Surgery&query_place_id=ChIJVVWVR4eoEmsRKymakKj24Xk
Shore Surgical,Shore Surgical,,,4.5,8,"Suite 204, Level, 2/156 Pacific Hwy",Greenwich,NSW,Other,AU,+61294608711,+61 2 9460 8711,http://www.shoresurgical.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Shore%20Surgical&query_place_id=ChIJnSW-6N-uEmsR-kLahx1uHpw
Dr Devesh Kaushal | Upper-GI & Weight Loss Surgeon,Devesh Kaushal | Upper-GI & Weight Loss Surgeon,Dr,general-bariatric,4.9,50,"Suite 26, Level 2/13 Digitaria Dr",Gregory Hills,NSW,Other,AU,+61279068312,+61 2 7906 8312,https://drdeveshkaushal.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Devesh%20Kaushal%20%7C%20Upper-GI%20%26%20Weight%20Loss%20Surgeon&query_place_id=ChIJEcZY9-nvEmsRFOqdM8993Sw
Blue Mountains District ANZAC Memorial Hospital,Blue Mountains District ANZAC Memorial Hospital,,,3.6,185,1 Woodlands Rd,Katoomba,NSW,Other,AU,+61247846500,+61 2 4784 6500,http://www.nbmlhd.health.nsw.gov.au/blue-mountains-hospital,General hospital,https://www.google.com/maps/search/?api=1&query=Blue%20Mountains%20District%20ANZAC%20Memorial%20Hospital&query_place_id=ChIJbShYVoluEmsRlXSFiEQLKRM
GWS Surgery | Dr Sebastian Kwon | Penrith,GWS Surgery | Dr Sebastian Kwon | Penrith,,,5,26,"Suite 317, 1/9 Barber Ave",Kingswood,NSW,Other,AU,(018) 000 01497,+61 1800 001 497,https://gwssurgery.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=GWS%20Surgery%20%7C%20Dr%20Sebastian%20Kwon%20%7C%20Penrith&query_place_id=ChIJt3NgEouPEmsRobeZguYRokI
